"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TMAX","TMIN","TOBS"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-01","-3","-26","-25"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-02","-3","-26","-25"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-03","5","-26","5"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-04","17","5","8"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-05","19","2","2"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-06","2","-20","-20"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-07","2","-31","-31"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-08","14","-31","14"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-09","21","-14","-13"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-10","-4","-17","-17"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-11","3","-18","2"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-12","29","1","21"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-13","30","20","24"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-14","26","10","10"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-15","14","-9","-8"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-16","19","-8","19"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-17","29","10","20"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-18","32","20","25"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-19","36","-7","-7"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-20","-3","-20","-20"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-21","-1","-21","-1"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-22","25","-21","-3"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-23","1","-20","-5"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-24","2","-5","-5"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-25","2","-18","-17"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-26","-4","-21","-4"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-27","30","-4","17"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-28","17","-12","-6"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-29","15","-6","8"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-30","22","0","1"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-01-31","16","0","5"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-02-01","23","5","11"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-02-02","11","-13","-13"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-02-03","-2","-26","-26"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-02-04","-3","-27","-6"
"USC00215902","NEW YORK MILLS, MN US","46.52017","-95.33735","431.3","2022-02-05","1","-11","1"
